stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
9726,9726,Blue Aster & Legacy (WB),This stop (#9726) is westbound on the 2798 block of Blue Aster Blvd nearside Legacy Way,43.171828,-89.270465,MMT,CSUN,0,,3,270,1,Blue Aster,2798,Legacy
9729,9729,International & Elder Care (NB),This stop (#9729) is northbound on the 2901 block of International Ln opposite Elder Care Driveway,43.127404,-89.348779,MMT,CMAD,0,,4,0,1,International,2901,Elder Care
9733,9733,Walsh & Commercial (NB),This stop (#9733) is northbound on the 701 block of Walsh Rd farside Commercial Ave,43.106989,-89.309872,MMT,CMAD,0,,1,0,1,Walsh,701,Commercial
9740,9740,Commercial N & N Fair Oaks (WB),This stop (#9740) is westbound on the 3398 block of Commercial Ave (N) farside Fair Oaks Ave (N),43.107077,-89.33114,MMT,CMAD,0,,1,270,1,Commercial N,3398,N Fair Oaks
9741,9741,Hoepker & Merchant (EB),This stop (#9741) is eastbound on the 3001 block of Hoepker Rd nearside Merchant Sq,43.164772,-89.278243,MMT,CMAD,0,,3,90,0,Hoepker,3001,Merchant
9744,9744,Buttonwood & American Family (WB),This stop (#9744) is westbound on the 5498 block of Buttonwood Dr farside American Family Dr,43.150682,-89.290001,MMT,CMAD,0,,1,270,1,Buttonwood,5498,American Family
9745,9745,N Thompson & Golden Leaf (NB),This stop (#9745) is northbound on the 999 block of Thompson Dr (N) farside Golden Leaf Trl,43.112151,-89.296054,MMT,CMAD,0,,1,0,1,N Thompson,999,Golden Leaf
9747,9747,E Terrace & Eastpark (EB),This stop (#9747) is eastbound on the 5299 block of Terrace Dr (E) nearside Eastpark Blvd,43.146171,-89.291518,MMT,CMAD,0,,3,90,1,E Terrace,5299,Eastpark
9750,9750,E Washington & Schmedeman (WB),This stop (#9750) is westbound on the 3550 block of E Washington Ave farside Schmedeman Ave,43.11533,-89.327423,MMT,CMAD,0,,1,270,1,E Washington,3550,Schmedeman
9753,9753,Nakoosa & Walmart (EB),This stop (#9753) is eastbound on the 4141 block of Nakoosa Trl opposite Walmart Driveway,43.109301,-89.312042,MMT,CMAD,0,,4,90,1,Nakoosa,4141,Walmart
9759,9759,Eagan & East Towne (NB),This stop (#9759) is northbound on the 1751 block of Eagan Rd farside East Towne Blvd,43.12545,-89.309199,MMT,CMAD,0,,1,0,1,Eagan,1751,East Towne
