route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8514,87,MMT,72,,MIDDLTON:CAP SQR,Serves Middleton to/from Capitol Square. Operates regularly in Capitol Square direction from about 6 AM to 9 AM and in Middleton direction from about 3 PM to 6 PM on weekday service days only; limited trips in opposite direction during morning and aftern,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,841D1D,FFFFFF,1
8515,87,MMT,73,,MIDDLTON:WEST TP,Serves West Transfer Point to/from Middleton. Operates regularly in both directions during entire day on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,DFB93E,000000,1
8516,87,MMT,75,,VERONA:CAP SQR,Serves Capitol Square to/from Verona-Epic Campus. Operates limited trips in both directions in the morning and afternoon on weekday and modified service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,E0993A,000000,1
8517,87,MMT,78,,MIDDLTON:WEST TP,Serves West Transfer Point to/from Middleton. Operates regularly during entire day on Saturday and modified service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,365AA6,FFFFFF,1
8518,87,MMT,80,,EAGLE HT:UW UNION,Serves Memorial Union to/from UW Hospital-Eagle Heights. Operates regularly in both directions during weekday and weekend UW standard and recess service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,B33927,000000,1
8519,87,MMT,81,,OBSRVTRY/JOHNSON:UNION,Serves Memorial Union to/from Observatory-Johnson. Operates regularly on every service day from about 6 PM to 3 AM during UW standard service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,DD9139,000000,1
8520,87,MMT,82,,BREESE/W WASH:UNION,Serves Memorial Union to/from Breese-W Washington. Operates regularly on every service day from about 6 PM to 3 AM during UW standard service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,3F6AB2,000000,1
8521,87,MMT,84,,EAGLE HT:U CAMPUS,Serves UW Campus to Eagle Heights. Operates regularly from about 4 PM to 6 PM during weekday UW standard and recess service days only; see UW service calendar printed in Metro Ride Guide or on Metro website.,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,60348E,000000,1
8541,88,MMT,01,,OLD UNIV:CAP SQR,Weekday schedule trips operate regularly every 60 minutes from approximately 9 AM until 3 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-1,E3D23E,000000,1
8542,88,MMT,02,,WEST TP:NORTH TP,Daily schedule trips operate regularly at least every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,981F66,FFFFFF,1
8543,88,MMT,03,,WEST TP:EAST TP,Weekday schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-3,CD8382,000000,1
8544,88,MMT,04,,SOUTH TP:NORTH TP,Weekday schedule trips operate regularly every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,42784D,000000,1
8545,88,MMT,05,,SOUTH TP:EAST TP,Weekday schedule trips operate regularly every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B46A5B,000000,1
8546,88,MMT,06,,E TOWNE:WEST TP,Weekday schedule trips operate at least every 30 minutes. Weeknight and weekend/holiday trips operate regularly every 60 minutes. Limited weekday trips operate via Tokay and Madison College.,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,CC382C,000000,1
8547,88,MMT,07,,WEST TP:EAST TP,Weekend/holiday trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,AEC34B,000000,1
8548,88,MMT,08,,SPRNG HB:CAP SQR,Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,D8A464,000000,1
8549,88,MMT,10,,UNIV ROW:UNION CS,Weekday schedule trips operate at least every 30 minutes from approximately 7 AM until 9 PM. Limited trips operate east of Broom Street and west of Sheboygan Avenue.,3,http://www.cityofmadison.com/metro/routes-schedules/route-10,919249,000000,1
8550,88,MMT,11,,DUTCH ML:WEST TP,Weekday schedule trips operate regularly eastbound every 30 minutes from approximately 6 AM until 9 AM and westbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,D3886A,000000,1
8551,88,MMT,12,,DUTCH ML:WEST TP,Weekday schedule trips operate regularly westbound every 30 minutes from approximately 6 AM until 9 AM and eastbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-12,9B8821,000000,1
8552,88,MMT,13,,U CAMPUS:SOUTH TP,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-13,803E0E,000000,1
8553,88,MMT,14,,WEXFD RG:ETP/SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM. Weeknight trips operate regularly every 60 minutes west of Capitol Square.,3,http://www.cityofmadison.com/metro/routes-schedules/route-14,778D22,000000,1
8554,88,MMT,15,,JUNCT RG:ETP/SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM. Weeknight trips operate regularly every 60 minutes west of Capitol Square. Limited trips operate via Greenway.,3,http://www.cityofmadison.com/metro/routes-schedules/route-15,C3C946,000000,1
8555,88,MMT,16,,SOUTH TP:EAST TP,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-16,B86FAD,000000,1
8556,88,MMT,17,,NORTH TP:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-17,4D6BB1,000000,1
8557,88,MMT,18,,WEST TP:SOUTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Hammersley and Coho.,3,http://www.cityofmadison.com/metro/routes-schedules/route-18,4A67AE,000000,1
8558,88,MMT,19,,DUNNS MARSH:CAP SQR,Weekday schedule trips operate at least every 60 minutes. Additional schedule trips operate every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-19,B8DB99,000000,1
8559,88,MMT,20,,E TOWNE:NORTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Shopko.,3,http://www.cityofmadison.com/metro/routes-schedules/route-20,A7533E,000000,1
8560,88,MMT,21,,LAKEVIEW:NORTH TP,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-21,7F9784,000000,1
8561,88,MMT,22,,MENDOTA:NORTH TP,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 5 AM until 10 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-22,7DBC9F,000000,1
8562,88,MMT,23,,S PRAIRIE:CAP SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-23,FAA61A,000000,1
8563,88,MMT,25,,AMERICAN:CAP SQR,Weekday schedule trips operate once eastbound at approximately 7 AM and once westbound at approximately 4 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-25,A29F9A,000000,1
8564,88,MMT,26,,AMERICAN:E TOWNE,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-26,653A91,FFFFFF,1
